ID_GRUPO,TITULO
541606,Karaoke - Michael Jackson - Bad
541607,Karaoke - Michael Jackson - Billie Jean
541610,Karaoke - Soda Stereo - Signos
541623,"Princess and the Frog, The"
541702,Monty Pythons Meaning of Life
541761,Beneath the Planet of the Apes (1970)
541861,"Five-Year Engagement, The"
541882,"Parent Trap, The (1998)"
541901,Cruel Intentions (1999)
542014,"Admiral, The (aka Isoroku Yamamoto)"
542104,Up
542211,"Bone Collector, The"
542289,Seven Pounds
542325,3:10 To Yuma
542336,"Tale of Despereaux, The"
542485,Inglourious Basterds
542521,Rango
542630,Karaoke - Enrique Iglesias - Dirty Dancer
542650,Karaoke - Snoop Dogg - Sweat
542840,Hotel Transylvania
542851,Cloudy With a Chance of Meatballs
542874,Closer
542941,"Hijo del Santo y Chanoc contra los vampiros asesinos, El"
543014,"Callejón de los cocolazos, El"
543026,Fun with Dick and Jane
543028,Ghostbusters
543040,"máscara de carne, La"
543043,Chantaje al desnudo
543044,Casa de muñecas
543047,"esquina de mi barrio, La"
543050,Rutilo el forastero
543052,Placeres divertidos
543053,"charro negro en el norte, El"
543055,"agricultor, El"
543062,Secreto profesional
543063,Arrabalera
543068,Burlesque
543069,María guerrillera
543072,"Vuelta del Charro Negro, La"
543075,Amor de locura
543076,Échenme al vampiro
543174,"sucursal de la muerte, La"
543261,Larry Crowne
543280,Wreck-It Ralph
543300,Celeste and Jesse Forever
543308,"Odd Life of Timothy Green, The"
543315,"Taxista querendón, El"
543316,Fin de semana trágico
543318,Juan el enterrador
543342,Jóvenes perversos
543369,"Adventures of Sharkboy And Lavagirl, The"
543383,Los hijos de rancho grande
543406,Juntos pero no revueltos
543407,Konga Roja
543420,"Esqueleto de la señora Morales, El"
543421,"Hijo de Ángela María, El"
543422,"Hijo del Charro Negro, El"
543494,Look Whos Talking (1989)
543495,Love and Other Impossible Pursuits (aka The Other Woman)
543504,Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb
543509,"Hotel New Hampshire, The"
543512,Tootsie
543514,"Sweetest Thing, The"
543540,Alias El Alacrán
543541,Arrullo de Dios
543560,Falsos militares
543586,Diez horas para morir
543588,"mariachi narcotraficante, El"
543601,To Rome With Love
543604,24 horas para desaparecer un cadáver (Aka Cómo desaparecer un cadáver en 24 hora
543605,"caballo blanco, El"
543607,Por perra y traicionera
543642,Being Flynn (aka Welcome to Suck City)
543643,"Skeleton Key, The (05)"
543644,Cocktail
543647,"Exorcism of Emily Rose, The"
543648,Sniper: Reloaded
543649,"Taking of Pelham 1 2 3, The"
543653,"Man Without a Face, The"
543656,Te sigo esperando
543657,Tiempos de sangre
543659,Una mujer sin amor
543661,Date Night
543665,2012
543673,Year One
543680,Yo maté a Juan Charrasqueado
543785,Escape from the Planet of the Apes (1971)
543901,Vengador callejero
543920,Cacería mortal
543921,¿A qué te sabe la muerte? El pozolero
543922,"fantasma de la coca, El"
543999,Hamlet
544080,"Karaoke - Michel Teló - Ei, psiu! Beijo me Liga"
544121,Ni un hombre más
544420,Pitch Perfect
544438,"Hit List, The (2011)"
544445,Look Whos Talking Now! (1993)
544447,Operation: Endgame
544901,Cárcel de mujeres
544946,Karaoke - The Corrs Con Alejandro Sanz - Una Noche
545060,Videodrome
545082,Year of The Gun
545180,"Master, The"
545402,Wanted (2008)
545409,District 9
545417,"A-Team, The"
545425,Jaws: The Revenge
545435,"Lizzie Mcguire Movie, The (Aka Ciao! Lizzie)"
545440,Look Whos Talking Too (1990)
545462,Conquest of the Planet of the Apes
545463,Unstoppable (2010)
545740,Stand Up Guys
545961,"media luz los tres, A"
546040,Les Miserables (2012)
546060,Django Unchained
546100,Fast & Furious
546400,Here Comes the Boom
546426,Parker
546443,Olympus Has Fallen (aka White House Taken)
546444,Quartet
546461,"Dinosaur Project, The"
547120,Alex Cross
547260,Battle for the Planet of the Apes
547319,Michael Jacksons This is it
547340,"Chronicles of Narnia, The: Prince Caspian"
547440,Peter Pan
547471,Nine
547488,Spill (A.K.A. Virus)
547502,Harleys Hill
547553,Bedtime Stories
547595,Monsters Vs. Aliens
547598,"Education, An"
547680,Immortal Beloved
547742,Daddy Day Care
547799,Hocus Pocus
547825,Mr. Deeds
547847,Bandidos de México
547892,Karaoke - Adele - Rolling In The Deep
547918,Karaoke - Bruno Mars - Dont Give Up
547929,Garfield
547960,Hostel (2006)
547994,"Book of Eli, The"
548026,Sugar Hill
548161,Charade (1963)
548163,Its Complicated
548182,"Serious Man, A"
548240,Kung Fu Panda
548403,High School Musical 2
548500,Planet of the Apes  (1968)
548600,"Piel que habito, La"
548780,"Chronicles of Narnia, The: The Voyage of The Dawn Treader"
549200,Blue Streak
549401,Convento de Pervertidas
549420,Somos Tão Jovens
549461,Inside Job
549541,Más vale vivir cinco años como rey que cincuenta como güey
549560,Anna and the King
549585,Stealth
549601,Because of Winn-Dixie
549604,From Hell
549680,Ever After: A Cinderella Story
549700,Stoker
549761,Dodgeball: A True Underdog Story
549802,Flight of the Phoenix
550011,"Conde de Montecristo, El"
550062,Cheaper by the Dozen 2 (2005)
550142,Pineapple Express
550292,¡Jalisco nunca pierde!
550380,All the Pretty Horses
550406,Sleeping with the Enemy
550961,Ya te cargó el payaso
551340,Epic
551420,Oz the Great and Powerful
551522,Karaoke - Madonna Feat. Nicki Minaj & M.I.A - Give Me All Your Luvin
551580,Karaoke - Maná - De pies a cabeza
551700,"Sons of Buena Vista, The"
551921,Negro es mi color
551940,Resident Evil
551960,"santísima muerte, La"
